Test (n)|Units|Low|High
WBC (191)|109/L|4.3|9.64
RBC (199)|1012/L|3.93|5.62
HGB (199)|g/L|123|168
HCT (199)|L/L|362|508
MCV (197)|fL|83.9|98
MCH (197)|pg|27.7|32.8
MCHC (194)|g/L|317|354
RDW (186)|%|11.5|13.9
PLT (194)|109/L|163|347
NEU abs (193)|109/L|1.93|5.87
LYMPH abs (195)|109/L|1.23|3.42
MONO abs (192)|109/L|0.26|0.78
EOS abs (190)|109/L|0.03|0.37
BASO abs (190)|109/L|0.02|0.08
IG abs (189)|109/L|0.01|0.05
NEU % (196)|%|39.2|71.5
LYMPH% (197)|%|18.9|47.1
MONO% (187)|%|4.8|11.5
EOS% (190)|%|0.4|5.9
BASO% (195)|%|0.2|1.4
IG% (192)|%|0|0.8
RET % (174)|%|0.64|2
RET abs (172)|109/L|30|93
RET‐He (176)|pg|28.3|36.1
